Time (days);Tconv_Normal;Treg_Normal;IL2_Normal;Mreg_Normal;Tconv_Autoimmune;Treg_Autoimmune;IL2_Autoimmune;Mreg_Autoimmune;Tconv_Cancer;Treg_Cancer;IL2_Cancer;Mreg_Cancer
0;104.9671415;9.861735699;21.29537708;5.761514928;76.08358512;9.100937466;20.0157311;5.035235445;118.7656761;8.967910544;20.38448311;4.537724711
1.01010101;83.76791712;10.55595331;25.74172976;5.442277053;86.21010919;12.85599912;29.85372298;5.079679015;75.12445552;10.04245673;14.80529214;4.734031061
2.02020202;69.49746142;12.16254564;20.62140797;4.877685487;85.24552818;14.48201476;38.22639934;4.495968615;84.07605218;9.237591351;13.21651716;5.002048448
3.03030303;63.02964843;9.855727411;17.30997723;4.892337313;57.29965468;17.9059776;35.03693575;5.017507123;70.35664163;12.12535237;15.9415829;4.037683162
4.04040404;46.39964499;13.17017339;18.28322142;4.514712737;80.14723462;16.77781281;37.68906648;5.980177463;46.50403476;14.10276034;12.83796354;7.29441688
5.050505051;49.43557713;12.98735508;19.32491929;4.575189293;73.21285329;22.53281094;29.33725494;7.116231445;31.97075232;15.61982986;17.48999901;5.831954532
6.060606061;33.93934892;13.90117271;16.08905408;5.621167008;52.05031635;22.97390127;24.56459436;7.194136864;26.24742917;15.90015635;14.84092978;5.881517001
7.070707071;28.03605765;13.74465597;16.0534595;6.522850107;46.13418424;14.8475461;22.02225192;4.75745705;21.37131429;11.68856751;7.702494278;5.593024314
8.080808081;24.74442978;12.98228716;17.22290789;4.90955484;31.76224648;23.44097842;30.22242057;7.28278464;15.15326522;10.4934346;9.703767111;7.472039368
9.090909091;21.03407883;11.92535556;12.75291796;5.795495859;34.01597711;17.48595509;16.70821022;7.50448162;20.287639;9.890945986;10.77945671;7.106840574
10.1010101;18.44058741;15.36025089;13.33215145;5.602997389;23.78317825;22.72300452;13.91931305;7.840646205;12.59734895;13.9345045;6.404312006;8.301544695
11.11111111;12.23931335;14.22407528;11.72420207;6.492553977;14.85688745;25.88066726;18.92762348;7.163599559;10.87522552;13.35676692;7.980938759;11.92594845
12.12121212;12.48237326;12.77577697;11.5013646;5.73800642;14.0165681;20.2723812;15.65961821;9.995970188;7.651477778;10.73312645;6.018881057;7.363318414
13.13131313;9.503919143;16.60786432;11.09721144;6.629232798;10.67507702;26.44451117;12.73531695;8.068367579;6.424587786;14.64231263;8.038197586;7.589055826
